venta_id,cliente_id,fecha_venta,producto_id,cantidad,precio_unitario,total_venta,canal_venta,nombre_producto,categoria_id,nombre_categoria,año_venta,mes_venta,trimestre,clasificacion_venta
2025-001,20,2025-08-09,5,3,495097,1485291,Tienda Física,Audífonos,2,Accesorios,2025,8,3,Grande
2025-002,339,2025-02-28,3,2,55095,110190,Tienda Física,Teclado,2,Accesorios,2025,2,1,Pequeña
2025-003,62,2025-11-27,4,3,427339,1282017,App,Monitor,1,Tecnología,2025,11,4,Grande
2025-004,479,2025-08-23,3,4,280170,1120680,App,Teclado,2,Accesorios,2025,8,3,Grande
2025-005,62,2025-05-04,1,1,666030,666030,App,Notebook,1,Tecnología,2025,5,2,Mediana
2025-006,317,2025-07-20,1,4,686999,2747996,App,Notebook,1,Tecnología,2025,7,3,Grande
2025-007,314,2025-11-14,5,4,173244,692976,Tienda Física,Audífonos,2,Accesorios,2025,11,4,Mediana
2025-008,480,2025-07-30,2,4,73972,295888,Web,Mouse,2,Accesorios,2025,7,3,Mediana
2025-009,59,2025-08-08,4,1,176782,176782,App,Monitor,1,Tecnología,2025,8,3,Pequeña
2025-010,413,2025-08-03,2,1,4914212,4914212,Tienda Física,Mouse,2,Accesorios,2025,8,3,Grande
2025-011,387,2025-10-19,5,4,580201,2320804,App,Audífonos,2,Accesorios,2025,10,4,Grande
2025-012,485,2025-06-19,5,2,94811,189622,Web,Audífonos,2,Accesorios,2025,6,2,Pequeña
2025-013,269,2025-04-14,3,2,464151,928302,Tienda Física,Teclado,2,Accesorios,2025,4,2,Mediana
2025-014,313,2025-08-10,5,3,208237,624711,App,Audífonos,2,Accesorios,2025,8,3,Mediana
2025-015,300,2025-03-22,3,3,293983,881949,App,Teclado,2,Accesorios,2025,3,1,Mediana
2025-016,2,2025-12-12,2,4,59522,238088,Tienda Física,Mouse,2,Accesorios,2025,12,4,Mediana
2025-017,146,2025-03-03,6,4,777344,3109376,App,Tablet,1,Tecnología,2025,3,1,Grande
2025-018,239,2025-03-02,3,2,627693,1255386,Web,Teclado,2,Accesorios,2025,3,1,Grande
2025-019,478,2025-04-20,5,4,47019,188076,Web,Audífonos,2,Accesorios,2025,4,2,Pequeña
2025-020,411,2025-07-26,4,3,662873,1988619,Tienda Física,Monitor,1,Tecnología,2025,7,3,Grande
2025-021,375,2025-12-23,6,4,35939,143756,Web,Tablet,1,Tecnología,2025,12,4,Pequeña
2025-022,28,2025-01-22,1,1,246094,246094,App,Notebook,1,Tecnología,2025,1,1,Mediana
2025-023,381,2025-01-05,5,4,474462,1897848,App,Audífonos,2,Accesorios,2025,1,1,Grande
2025-024,178,2025-07-06,6,1,600189,600189,Tienda Física,Tablet,1,Tecnología,2025,7,3,Mediana
2025-025,413,2025-09-15,5,2,392865,785730,Tienda Física,Audífonos,2,Accesorios,2025,9,3,Mediana
2025-026,481,2025-02-07,6,1,513551,513551,Tienda Física,Tablet,1,Tecnología,2025,2,1,Mediana
2025-027,276,2025-04-01,4,3,598574,1795722,Web,Monitor,1,Tecnología,2025,4,2,Grande
2025-028,458,2025-06-12,3,1,33386,33386,Tienda Física,Teclado,2,Accesorios,2025,6,2,Pequeña
2025-029,143,2025-07-06,5,1,479450,479450,Web,Audífonos,2,Accesorios,2025,7,3,Mediana
